feature,importance
floor_strike_f,0.22427438
min_temp_above_avg,0.18544014
min_temp,0.11166623
below_32F,0.10813698
min_temp_f,0.055726822
max_temp_lag_1,0.033820596
below_20F,0.030414501
is_dry_day,0.026014905
is_winter,0.022691626
min_temp_ma_3,0.021050518
precipitation_inches,0.0122255
min_temp_diff_1,0.011231823
precipitation_ma_3,0.011147861
is_rainy_day,0.010721124
min_temp_ma_14,0.010719017
week_of_year,0.010489786
is_spring,0.009785559
precipitation,0.008801118
min_temp_ma_7,0.0086788535
day_of_year,0.008457992
is_summer_vacation,0.008385294
min_temp_diff_7,0.008341845
precipitation_ma_7,0.007459357
min_temp_volatility_7,0.0071143294
min_temp_lag_1,0.007054703
max_temp_lag_2,0.006550798
max_temp_lag_7,0.00649719
min_temp_lag_7,0.006387754
month,0.0061077485
min_temp_lag_2,0.0057623913
day_of_week,0.005100443
is_summer,0.0030694816
is_fall,0.0006732447
quarter,0.0
had_precipitation,0.0
heavy_precipitation,0.0
